Title,BibTex,DOI,Authors,Year,Fields,Link
Defense Method against Adversarial Attacks Using JPEG Compression and One-Pixel Attack for Improved Dataset Security,"@Article{Cucu2023DefenseMA,
 author = {Adelina-Valentina Cucu and Giuseppe Valenzise and D. Stanescu and Ioana Ghergulescu and Lucian Ionel Gaina and Bianca Gusita},
 journal = {2023 27th International Conference on System Theory, Control and Computing (ICSTCC)},
 pages = {523-527},
 title = {Defense Method against Adversarial Attacks Using JPEG Compression and One-Pixel Attack for Improved Dataset Security},
 year = {2023}
}
",10.3390/math11204272,"['Adelina-Valentina Cucu', 'Giuseppe Valenzise', 'D. Stanescu', 'Ioana Ghergulescu', 'Lucian Ionel Gaina', 'Bianca Gusita']",2023.0,,https://www.semanticscholar.org/paper/b7a38334e99163b3efffa3638d73f26eca85ffa3
Exploring adversarial attacks in federated learning for medical imaging,"@Article{Darzi2023ExploringAA,
 author = {E. Darzi and Florian Dubost and N. Sijtsema and P. V. Ooijen},
 journal = {ArXiv},
 title = {Exploring adversarial attacks in federated learning for medical imaging},
 volume = {abs/2310.06227},
 year = {2023}
}
",10.1109/ICSTCC59206.2023.10308520,"['E. Darzi', 'Florian Dubost', 'N. Sijtsema', 'P. V. Ooijen']",2023.0,"Computer Science, Engineering",https://www.semanticscholar.org/paper/6c15fe66cad7bd6b2cd2913f664122674242304c
A Multimodal Adversarial Database: Towards A Comprehensive Assessment of Adversarial Attacks and Defenses on Medical Images,"@Article{Hu2023AMA,
 author = {Junyao Hu and Yimin He and Weiyu Zhang and Shuchao Pang and Ruhao Ma and Anan Du},
 journal = {2023 IEEE 10th International Conference on Data Science and Advanced Analytics (DSAA)},
 pages = {1-10},
 title = {A Multimodal Adversarial Database: Towards A Comprehensive Assessment of Adversarial Attacks and Defenses on Medical Images},
 year = {2023}
}
",10.48550/arXiv.2310.06227,"['Junyao Hu', 'Yimin He', 'Weiyu Zhang', 'Shuchao Pang', 'Ruhao Ma', 'Anan Du']",2023.0,Computer Science,https://www.semanticscholar.org/paper/f399a6e05d48b39749b59e98fc65d130fa60dce9
Generating Less Certain Adversarial Examples Improves Robust Generalization,"@Article{Zhang2023GeneratingLC,
 author = {Minxing Zhang and Michael Backes and Xiao Zhang},
 journal = {ArXiv},
 title = {Generating Less Certain Adversarial Examples Improves Robust Generalization},
 volume = {abs/2310.04539},
 year = {2023}
}
",10.1109/DSAA60987.2023.10302594,"['Minxing Zhang', 'Michael Backes', 'Xiao Zhang']",2023.0,Computer Science,https://www.semanticscholar.org/paper/83792509864acba5e083b09be1f9db4bb4904cb2
Exploring Model Learning Heterogeneity for Boosting Ensemble Robustness,"@Article{Wu2023ExploringML,
 author = {Yanzhao Wu and Ka-Ho Chow and Wenqi Wei and Ling Liu},
 journal = {ArXiv},
 title = {Exploring Model Learning Heterogeneity for Boosting Ensemble Robustness},
 volume = {abs/2310.02237},
 year = {2023}
}
",10.48550/arXiv.2310.04539,"['Yanzhao Wu', 'Ka-Ho Chow', 'Wenqi Wei', 'Ling Liu']",2023.0,Computer Science,https://www.semanticscholar.org/paper/4886c92f50b30def869a940e528fe21913ddbb09
Towards Human–Machine Recognition Alignment: An Adversarilly Robust Multimodal Retrieval Hashing Framework,"@Article{Zhang2023TowardsHR,
 author = {Xingwei Zhang and Xiaolong Zheng and Bin Liu and Xiao Wang and W. Mao and D. Zeng and Fei-yue Wang},
 journal = {IEEE Transactions on Computational Social Systems},
 pages = {2847-2859},
 title = {Towards Human–Machine Recognition Alignment: An Adversarilly Robust Multimodal Retrieval Hashing Framework},
 volume = {10},
 year = {2023}
}
",10.48550/arXiv.2310.02237,"['Xingwei Zhang', 'Xiaolong Zheng', 'Bin Liu', 'Xiao Wang', 'W. Mao', 'D. Zeng', 'Fei-yue Wang']",2023.0,Computer Science,https://www.semanticscholar.org/paper/78903d7859c3c18a49eefde1fefb6d3709de8de8
Artificial Intelligence and Infectious Disease Imaging.,"@Article{Chu2023ArtificialIA,
 author = {Winston T. Chu and Syed M S Reza and James T Anibal and Adam J Landa and Ian Crozier and Ulaş Bağci and Bradford J Wood and Jeffrey A Solomon},
 journal = {The Journal of infectious diseases},
 pages = {
          S322-S336
        },
 title = {Artificial Intelligence and Infectious Disease Imaging.},
 volume = {228 Supplement_4},
 year = {2023}
}
",10.1109/TCSS.2022.3199819,"['Winston T. Chu', 'Syed M S Reza', 'James T Anibal', 'Adam J Landa', 'Ian Crozier', 'Ulaş Bağci', 'Bradford J Wood', 'Jeffrey A Solomon']",2023.0,Medicine,https://www.semanticscholar.org/paper/bf176a1da55b30cc81ad309808c3d8c90b16456a
Leveraging Generative AI and Large Language Models: A Comprehensive Roadmap for Healthcare Integration,"@Article{Yu2023LeveragingGA,
 author = {Ping Yu and Hua Xu and Xia Hu and Chao Deng},
 journal = {Healthcare},
 title = {Leveraging Generative AI and Large Language Models: A Comprehensive Roadmap for Healthcare Integration},
 volume = {11},
 year = {2023}
}
",10.1093/infdis/jiad158,"['Ping Yu', 'Hua Xu', 'Xia Hu', 'Chao Deng']",2023.0,Medicine,https://www.semanticscholar.org/paper/d0c48d3b80efb9c170e7100cb9d78d1e7f7710bf
Stealthy dynamic backdoor attack against neural networks for image classification,"@Article{Dong2023StealthyDB,
 author = {Liang Dong and Jiawei Qiu and Zhongwang Fu and Leiyang Chen and Xiaohui Cui and Zhidong Shen},
 journal = {Applied Soft Computing},
 title = {Stealthy dynamic backdoor attack against neural networks for image classification},
 year = {2023}
}
",10.3390/healthcare11202776,"['Liang Dong', 'Jiawei Qiu', 'Zhongwang Fu', 'Leiyang Chen', 'Xiaohui Cui', 'Zhidong Shen']",2023.0,,https://www.semanticscholar.org/paper/043385a52ab9fcf14aed38cc214e108046db1462
Requirements for Trustworthy Artificial Intelligence and its Application in Healthcare,"@Article{Kim2023RequirementsFT,
 author = {Myeongju Kim and Hyoju Sohn and Sookyung Choi and Sook jin Kim},
 journal = {Healthcare Informatics Research},
 pages = {315 - 322},
 title = {Requirements for Trustworthy Artificial Intelligence and its Application in Healthcare},
 volume = {29},
 year = {2023}
}
",10.1016/j.asoc.2023.110993,"['Myeongju Kim', 'Hyoju Sohn', 'Sookyung Choi', 'Sook jin Kim']",2023.0,Medicine,https://www.semanticscholar.org/paper/77204d1fd3c2265c991e9b1ce8cc1255b9de43a8
Medical Foundation Models are Susceptible to Targeted Misinformation Attacks,"@Article{Han2023MedicalFM,
 author = {T. Han and S. Nebelung and F. Khader and Tian Wang and Gustav Mueller-Franzes and C. Kuhl and Sebastian Forsch and Jens Kleesiek and Christoph Haarburger and K. Bressem and Jakob Nikolas Kather and D. Truhn},
 journal = {ArXiv},
 title = {Medical Foundation Models are Susceptible to Targeted Misinformation Attacks},
 volume = {abs/2309.17007},
 year = {2023}
}
",10.4258/hir.2023.29.4.315,"['T. Han', 'S. Nebelung', 'F. Khader', 'Tian Wang', 'Gustav Mueller-Franzes', 'C. Kuhl', 'Sebastian Forsch', 'Jens Kleesiek', 'Christoph Haarburger', 'K. Bressem', 'Jakob Nikolas Kather', 'D. Truhn']",2023.0,Computer Science,https://www.semanticscholar.org/paper/e94b1b868bf57f0243e42d4f51042bd1f1e621b3
Artificial intelligence for neurodegenerative experimental models.,"@Article{Marzi2023ArtificialIF,
 author = {Sarah J Marzi and B. Schilder and A. Nott and C. S. Frigerio and Sandrine Willaime-Morawek and Magda Bucholc and D. Hanger and C. James and Patrick A Lewis and I. Lourida and Wendy Noble and F. Rodríguez-Algarra and Jalil-Ahmad Sharif and Maria Tsalenchuk and Laura M Winchester and Ümran Yaman and Zhi Yao and J. Ranson and David J. Llewellyn},
 journal = {Alzheimer's & dementia : the journal of the Alzheimer's Association},
 title = {Artificial intelligence for neurodegenerative experimental models.},
 year = {2023}
}
",10.48550/arXiv.2309.17007,"['Sarah J Marzi', 'B. Schilder', 'A. Nott', 'C. S. Frigerio', 'Sandrine Willaime-Morawek', 'Magda Bucholc', 'D. Hanger', 'C. James', 'Patrick A Lewis', 'I. Lourida', 'Wendy Noble', 'F. Rodríguez-Algarra', 'Jalil-Ahmad Sharif', 'Maria Tsalenchuk', 'Laura M Winchester', 'Ümran Yaman', 'Zhi Yao', 'J. Ranson', 'David J. Llewellyn']",2023.0,Medicine,https://www.semanticscholar.org/paper/83046b9ad5a01ae561e0fbc49ef16288d211468f
Beyond generalization: a theory of robustness in machine learning,"@Article{Freiesleben2023BeyondGA,
 author = {Timo Freiesleben and Thomas Grote},
 journal = {Synthese},
 title = {Beyond generalization: a theory of robustness in machine learning},
 volume = {202},
 year = {2023}
}
",10.1002/alz.13479,"['Timo Freiesleben', 'Thomas Grote']",2023.0,,https://www.semanticscholar.org/paper/4258ce8297c5a8cd0a6c1a3997c678fb0ac06b0e
Principles of artificial intelligence and its application in cardiovascular medicine.,"@Article{Wieneke2023PrinciplesOA,
 author = {Heinrich Wieneke and Ingo Voigt},
 journal = {Clinical cardiology},
 title = {Principles of artificial intelligence and its application in cardiovascular medicine.},
 year = {2023}
}
",10.1007/s11229-023-04334-9,"['Heinrich Wieneke', 'Ingo Voigt']",2023.0,Medicine,https://www.semanticscholar.org/paper/31bee82d1326093845307efb2214a0c97c7daa39
Inverse classification with logistic and softmax classifiers: efficient optimization,"@Article{Carreira-Perpin'an2023InverseCW,
 author = {Miguel 'A. Carreira-Perpin'an and Suryabhan Singh Hada},
 journal = {ArXiv},
 title = {Inverse classification with logistic and softmax classifiers: efficient optimization},
 volume = {abs/2309.08945},
 year = {2023}
}
",10.1002/clc.24148,"[""Miguel 'A. Carreira-Perpin'an"", 'Suryabhan Singh Hada']",2023.0,"Computer Science, Mathematics",https://www.semanticscholar.org/paper/6562de0399082fdf0b914f8cef17fdbe294fc932
SC-PCA: Shape Constraint Physical Camouflage Attack Against Vehicle Detection,"@Article{Wang2023SCPCASC,
 author = {Hao Wang and Jingjing Qin and Yixue Huang and Genping Wu and Hongfeng Zhang and Jintao Yang},
 journal = {Journal of Signal Processing Systems},
 title = {SC-PCA: Shape Constraint Physical Camouflage Attack Against Vehicle Detection},
 year = {2023}
}
",10.48550/arXiv.2309.08945,"['Hao Wang', 'Jingjing Qin', 'Yixue Huang', 'Genping Wu', 'Hongfeng Zhang', 'Jintao Yang']",2023.0,,https://www.semanticscholar.org/paper/64191760c523fc65be6a5314c77e38ca74debfaa
Adversarial attacks in radiology - A systematic review.,"@Article{Sorin2023AdversarialAI,
 author = {V. Sorin and S. Soffer and Benjamin S. Glicksberg and Y. Barash and E. Konen and E. Klang},
 journal = {European journal of radiology},
 pages = {
          111085
        },
 title = {Adversarial attacks in radiology - A systematic review.},
 volume = {167},
 year = {2023}
}
",10.1007/s11265-023-01890-8,"['V. Sorin', 'S. Soffer', 'Benjamin S. Glicksberg', 'Y. Barash', 'E. Konen', 'E. Klang']",2023.0,Medicine,https://www.semanticscholar.org/paper/e9fc64ddcb1d1c4dd8f4413e29084104c5b0472f
Adversarial attacks on hybrid classical-quantum Deep Learning models for Histopathological Cancer Detection,"@Article{Baral2023AdversarialAO,
 author = {Biswaraj Baral and Reek Majumdar and Bhavika Bhalgamiya and Taposh Dutta Roy},
 journal = {ArXiv},
 title = {Adversarial attacks on hybrid classical-quantum Deep Learning models for Histopathological Cancer Detection},
 volume = {abs/2309.06377},
 year = {2023}
}
",10.1016/j.ejrad.2023.111085,"['Biswaraj Baral', 'Reek Majumdar', 'Bhavika Bhalgamiya', 'Taposh Dutta Roy']",2023.0,"Computer Science, Physics",https://www.semanticscholar.org/paper/d6113cdb4fddcd61c829fb5d906e5b3e4e8fac3d
Robust Adversarial Defense by Tensor Factorization,"@Article{Bhattarai2023RobustAD,
 author = {Manish Bhattarai and M. C. Kaymak and Ryan Barron and Ben Nebgen and Kim Rasmussen and B. Alexandrov},
 journal = {ArXiv},
 title = {Robust Adversarial Defense by Tensor Factorization},
 volume = {abs/2309.01077},
 year = {2023}
}
",10.48550/arXiv.2309.06377,"['Manish Bhattarai', 'M. C. Kaymak', 'Ryan Barron', 'Ben Nebgen', 'Kim Rasmussen', 'B. Alexandrov']",2023.0,Computer Science,https://www.semanticscholar.org/paper/3e76d5b38860d4b29072589f3c87a84ad45e2c9d
Place de l’intelligence artificielle dans la chirurgie de l’épaule en 2023,"@Article{Abadie2023PlaceDL,
 author = {P. Abadie and Pierre Pirlot and Bruno Virieux},
 journal = {Revue de Chirurgie Orthopédique et Traumatologique},
 title = {Place de l’intelligence artificielle dans la chirurgie de l’épaule en 2023},
 year = {2023}
}
",10.48550/arXiv.2309.01077,"['P. Abadie', 'Pierre Pirlot', 'Bruno Virieux']",2023.0,,https://www.semanticscholar.org/paper/b060218bbceff029bf8fb8c7de4d4f5ea0b45b1e
Revolutionizing Digital Pathology with the Power of Generative Artificial Intelligence and Foundation Models.,"@Article{Waqas2023RevolutionizingDP,
 author = {Asim Waqas and Marilyn M Bui and E. Glassy and I. E. El Naqa and Piotr Borkowski and Andrew A Borkowski and Ghulam Rasool},
 journal = {Laboratory investigation; a journal of technical methods and pathology},
 pages = {
          100255
        },
 title = {Revolutionizing Digital Pathology with the Power of Generative Artificial Intelligence and Foundation Models.},
 year = {2023}
}
",10.1016/j.rcot.2023.07.008,"['Asim Waqas', 'Marilyn M Bui', 'E. Glassy', 'I. E. El Naqa', 'Piotr Borkowski', 'Andrew A Borkowski', 'Ghulam Rasool']",2023.0,Medicine,https://www.semanticscholar.org/paper/d37e99c71ebb4836d13fcce4ed1d7e2972065076
Trustworthy Representation Learning Across Domains,"@Article{Zhu2023TrustworthyRL,
 author = {Ronghang Zhu and Dongliang Guo and Daiqing Qi and Zhixuan Chu and Xiang Yu and Sheng Li},
 journal = {ArXiv},
 title = {Trustworthy Representation Learning Across Domains},
 volume = {abs/2308.12315},
 year = {2023}
}
",10.1016/j.labinv.2023.100255,"['Ronghang Zhu', 'Dongliang Guo', 'Daiqing Qi', 'Zhixuan Chu', 'Xiang Yu', 'Sheng Li']",2023.0,Computer Science,https://www.semanticscholar.org/paper/dfb943b8ecb30390f8ee7ac99a009eb5d129d245
SafetyMed: A Novel IoMT Intrusion Detection System Using CNN-LSTM Hybridization,"@Article{Faruqui2023SafetyMedAN,
 author = {Nuruzzaman Faruqui and M. Yousuf and Md. Whaiduzzaman and A. Azad and S. Alyami and P. Lio' and M. A. Kabir and M. Moni},
 journal = {Electronics},
 title = {SafetyMed: A Novel IoMT Intrusion Detection System Using CNN-LSTM Hybridization},
 year = {2023}
}
",10.48550/arXiv.2308.12315,"['Nuruzzaman Faruqui', 'M. Yousuf', 'Md. Whaiduzzaman', 'A. Azad', 'S. Alyami', ""P. Lio'"", 'M. A. Kabir', 'M. Moni']",2023.0,,https://www.semanticscholar.org/paper/fc76cfc3cff7a18b57ca907aba4be4e33be67af2
On the Interplay of Convolutional Padding and Adversarial Robustness,"@Article{Gavrikov2023OnTI,
 author = {Paul Gavrikov and J. Keuper},
 journal = {ArXiv},
 title = {On the Interplay of Convolutional Padding and Adversarial Robustness},
 volume = {abs/2308.06612},
 year = {2023}
}
",10.3390/electronics12173541,"['Paul Gavrikov', 'J. Keuper']",2023.0,Computer Science,https://www.semanticscholar.org/paper/2e9789d3228c97776244f5f6e16d5fef79e8c1bf
FUTURE-AI: International consensus guideline for trustworthy and deployable artificial intelligence in healthcare,"@Article{Lekadir2023FUTUREAIIC,
 author = {K. Lekadir and Aasa Feragen and Abdul Joseph Fofanah and Alejandro F Frangi and Alena Buyx and Anais Emelie and Andrea Lara and A. R. Porras and An-Wen Chan and Arcadi Navarro and Ben Glocker and B. Botwe and B. Khanal and Brigit Beger and Carol C Wu and C. Cintas and C. Langlotz and D. Rueckert and Deogratias Mzurikwao and D. Fotiadis and Doszhan Zhussupov and Enzo Ferrante and E. Meijering and Eva Weicken and Fabio A. Gonz'alez and F. Asselbergs and Fred Prior and G. Krestin and Gary S. Collins and G. S. Tegenaw and Georgios Kaissis and Gianluca Misuraca and G. Tsakou and Girish Dwivedi and H. Kondylakis and Harsha Jayakody and Henry C Woodruf and H. J. Aerts and Ian Walsh and I. Chouvarda and I. Buvat and I. Rekik and James S. Duncan and Jayashree Kalpathy-Cramer and Jihad Zahir and Jinah Park and John T Mongan and J. Gichoya and J. Schnabel and Kaisar Kushibar and K. Riklund and Kensaku Mori and K. Marias and L. M. Amugongo and Lauren A. Fromont and Lena Maier-Hein and Leonor Cerd'a Alberich and L. Rittner and Lighton Phiri and L. Marrakchi-Kacem and Lluís Donoso-Bach and L. Mart'i-Bonmat'i and M. Jorge Cardoso and Maciej Bobowicz and Mahsa Shabani and M. Tsiknakis and Maria A. Zuluaga and M. Bieliková and Marie-Christine Fritzsche and M. Linguraru and M. Wenzel and Marleen de Bruijne and M. Tolsgaard and M. Ghassemi and Mohammad Ashrafuzzaman and Melanie Goisauf and Mohammad Yaqub and Mohammed Ammar and M'onica Cano Abad'ia and Mukhtar M. E. Mahmoud and Mustafa Elattar and Nicola Rieke and N. Papanikolaou and Noussair Lazrak and Oliver D'iaz and Olivier Salvado and O. Pujol and Ousmane Sall and Pamela Guevara and P. Gordebeke and Philippe Lambin and Pieta Brown and P. Abolmaesumi and Qi Dou and Qinghua Lu and Richard Osuala and Rose Nakasi and S. K. Zhou and S. Napel and Sara Colantonio and Shadi Albarqouni and Smriti Joshi and Stacy M Carter and Stefan Klein and Steffen E. Petersen and Susanna Auss'o and Suyash P. Awate and T. R. Raviv and Tessa S. Cook and Tinashe Ernest Mutsvangwa and Wendy A Rogers and W. Niessen and Xènia Puig-Bosch and Yi Zeng and Yunusa G Mohammed and Yves Saint James Aquino and Zohaib Salahuddin and M. P. Starmans},
 journal = {ArXiv},
 title = {FUTURE-AI: International consensus guideline for trustworthy and deployable artificial intelligence in healthcare},
 volume = {abs/2309.12325},
 year = {2023}
}
",10.48550/arXiv.2308.06612,"['K. Lekadir', 'Aasa Feragen', 'Abdul Joseph Fofanah', 'Alejandro F Frangi', 'Alena Buyx', 'Anais Emelie', 'Andrea Lara', 'A. R. Porras', 'An-Wen Chan', 'Arcadi Navarro', 'Ben Glocker', 'B. Botwe', 'B. Khanal', 'Brigit Beger', 'Carol C Wu', 'C. Cintas', 'C. Langlotz', 'D. Rueckert', 'Deogratias Mzurikwao', 'D. Fotiadis', 'Doszhan Zhussupov', 'Enzo Ferrante', 'E. Meijering', 'Eva Weicken', ""Fabio A. Gonz'alez"", 'F. Asselbergs', 'Fred Prior', 'G. Krestin', 'Gary S. Collins', 'G. S. Tegenaw', 'Georgios Kaissis', 'Gianluca Misuraca', 'G. Tsakou', 'Girish Dwivedi', 'H. Kondylakis', 'Harsha Jayakody', 'Henry C Woodruf', 'H. J. Aerts', 'Ian Walsh', 'I. Chouvarda', 'I. Buvat', 'I. Rekik', 'James S. Duncan', 'Jayashree Kalpathy-Cramer', 'Jihad Zahir', 'Jinah Park', 'John T Mongan', 'J. Gichoya', 'J. Schnabel', 'Kaisar Kushibar', 'K. Riklund', 'Kensaku Mori', 'K. Marias', 'L. M. Amugongo', 'Lauren A. Fromont', 'Lena Maier-Hein', ""Leonor Cerd'a Alberich"", 'L. Rittner', 'Lighton Phiri', 'L. Marrakchi-Kacem', 'Lluís Donoso-Bach', ""L. Mart'i-Bonmat'i"", 'M. Jorge Cardoso', 'Maciej Bobowicz', 'Mahsa Shabani', 'M. Tsiknakis', 'Maria A. Zuluaga', 'M. Bieliková', 'Marie-Christine Fritzsche', 'M. Linguraru', 'M. Wenzel', 'Marleen de Bruijne', 'M. Tolsgaard', 'M. Ghassemi', 'Mohammad Ashrafuzzaman', 'Melanie Goisauf', 'Mohammad Yaqub', 'Mohammed Ammar', ""M'onica Cano Abad'ia"", 'Mukhtar M. E. Mahmoud', 'Mustafa Elattar', 'Nicola Rieke', 'N. Papanikolaou', 'Noussair Lazrak', ""Oliver D'iaz"", 'Olivier Salvado', 'O. Pujol', 'Ousmane Sall', 'Pamela Guevara', 'P. Gordebeke', 'Philippe Lambin', 'Pieta Brown', 'P. Abolmaesumi', 'Qi Dou', 'Qinghua Lu', 'Richard Osuala', 'Rose Nakasi', 'S. K. Zhou', 'S. Napel', 'Sara Colantonio', 'Shadi Albarqouni', 'Smriti Joshi', 'Stacy M Carter', 'Stefan Klein', 'Steffen E. Petersen', ""Susanna Auss'o"", 'Suyash P. Awate', 'T. R. Raviv', 'Tessa S. Cook', 'Tinashe Ernest Mutsvangwa', 'Wendy A Rogers', 'W. Niessen', 'Xènia Puig-Bosch', 'Yi Zeng', 'Yunusa G Mohammed', 'Yves Saint James Aquino', 'Zohaib Salahuddin', 'M. P. Starmans']",2023.0,Computer Science,https://www.semanticscholar.org/paper/779672363dac1683dd6069e3630623fd37a09251
A reading survey on adversarial machine learning: Adversarial attacks and their understanding,"@Article{Kotyan2023ARS,
 author = {Shashank Kotyan},
 journal = {ArXiv},
 title = {A reading survey on adversarial machine learning: Adversarial attacks and their understanding},
 volume = {abs/2308.03363},
 year = {2023}
}
",10.48550/arXiv.2309.12325,['Shashank Kotyan'],2023.0,Computer Science,https://www.semanticscholar.org/paper/df2e8ca69096335ad738c7c9d33dddbb363e7af2
